State,Total_2011,Total_2012,Total_2013,Total_2014,Total_2015,Total_2016,Total_2017,Total_2018,Total_2019,Total_2020,Total_2021
Alabama,18090,20188,22356,22660,24140,26555,35089,36542,40637,43982,47436
Alaska,3399,3537,3921,4084,4398,4575,5062,5433,5924,6256,6789
Arkansas,6572,7526,8266,8396,8968,9317,10363,11026,11818,12205,12762
Arizona,22797,25302,25123,25890,28202,29997,34186,36966,41026,45849,50052
California,42545,48376,51253,53560,55649,56295,57450,59308,61769,62907,64141
Colorado,9645,10556,11435,11938,13202,14591,16782,18143,20359,21964,20210
Connecticut,25972,24694,23657,23715,30842,43004,58834,42870,47499,46004,41616
District of Columbia,5332,5835,6221,6232,6413,6453,7106,7292,7984,8322,10534
Delaware,1073,1202,1264,1303,1339,1336,1494,1563,1569,1633,1805
Florida,41845,45798,49278,52749,59656,64540,75556,88175,97633,104768,112652
Georgia,33812,36825,44400,45351,48421,49733,54669,57030,63832,72512,78072
Hawaii,571,577,527,527,563,565,568,588,612,645,643
Iowa,5121,5417,5614,5675,5761,5857,5991,6335,7263,15977,12296
Idaho,5662,6431,6740,6784,7377,7576,8358,8746,10232,10986,11996
Illinois,27305,28497,30009,30172,30834,35536,39026,36780,37853,37472,38012
Indiana,28097,29373,30828,31682,33013,34020,36450,37637,39953,41623,43412
Kansas,5102,5908,6396,6594,7224,7613,8630,9351,10159,11021,12004
Kentucky,12492,14739,15908,16780,17812,19381,21683,23860,26221,27007,28178
Lousiana,9580,9784,10496,10988,11821,12544,14608,15671,17184,17787,19156
Massacheusetts,9037,9594,10105,10369,10804,10829,11462,12094,12994,13830,15158
Maryland,29373,30126,32090,32476,34266,35242,35176,43034,45205,41161,42522
Maine,6899,7064,7052,7006,7350,7615,8520,9631,8785,9006,9322
Michigan,11416,11972,14036,14223,16028,17515,21735,23277,25870,27115,29583
Minnesota,12540,11655,12566,12386,15021,15454,16009,16920,18333,19262,20439
Missouri,12557,13690,14698,15203,16641,17429,19466,20766,22512,23489,25966
Mississippi,5305,5580,5994,6128,6728,7191,8530,9115,9922,11011,11956
Montana,2969,3138,3616,3732,4072,4297,4789,5016,5418,5671,6270
North Carolina,15455,17446,17550,18363,20656,22488,25998,30544,32930,34737,38074
North Dakota,1760,2150,2270,2302,2560,2698,3048,3243,3604,3866,4207
Nebraska,3995,4429,4428,4538,4886,5144,5768,6199,6731,7120,7602
New Hampshire,7359,121135,10447,10772,11757,13448,28344,22142,24340,26927,29645
New Jersey,10022,10324,10558,10786,11708,11868,12658,13561,42450,46253,51259
New Mexico,5246,5687,5887,6053,6577,6912,7744,8213,8831,9203,10066
Nevada,7048,10910,11985,12415,15474,17606,21634,27537,29548,31624,31003
New York,16719,18245,21146,22678,26553,25885,28232,28484,30032,29925,30637
Ohio,23917,26353,48435,30494,33012,33881,38163,40169,41734,43601,47016
Oklahoma,10713,12339,13250,13633,14935,15784,17320,18261,19556,20556,21790
Oregon,10898,11584,12076,12363,13074,13561,14850,15759,17209,18140,19623
Pennsylvania,33605,35603,36702,37469,39308,40718,44842,47102,52576,54216,58750
Rhode Island,835,855,889,887,908,912,956,1010,1048,1103,1128
South Carolina,10024,11715,16222,13694,15769,16397,19125,21343,23008,23911,24766
South Dakota,2149,2278,2372,2453,2647,2811,3222,3399,3757,4126,4441
Tennessee,20860,23105,23658,23792,25669,26902,29095,30446,32455,34148,36409
Texas,46105,50687,56791,60538,71548,78584,95269,104052,119033,130476,145197
Utah,8957,9566,10037,10907,11492,12211,13668,14935,16838,17830,19203
Virginia,42892,45726,48116,49988,53827,56423,61979,65670,71602,78078,82267
Vermont,1485,1519,1575,1597,1698,1770,2009,2263,2472,2616,2817
Washington,6984,7457,7895,8102,9475,10873,14431,16464,19639,21673,24622
Wisconsin,9089,9657,10158,10507,11425,12445,14164,15529,16685,17601,18781
West Virginia,3828,4099,4327,4509,5511,9592,10006,10588,11076,11544,11952
Wyoming,2599,2687,2802,2885,3009,3144,3585,3743,4166,4414,4878
Other US Territories,239,239,279,279,280,330,330,330,525,529,529
