,2019,2018,2017,2016,2015,2014,2005
Alaska,24.4,21,24.5,23.3,23.4,19.2,17.5
Alabama,22.2,21.8,22.9,21.5,19.6,16.9,16
Arkansas,19.3,18.9,20.3,17.8,16.9,16.6,15.7
Arizona,15.1,15.3,15.8,15.2,13.8,13.5,16.1
California,7.2,7.5,7.9,7.9,7.7,7.4,9.5
Colorado,14.2,15.2,13.4,14.3,12.6,12.2,11.6
Connecticut,5.3,4.9,5.1,4.6,5.3,5,5.3
Delaware,9.9,11.6,11.7,11,12.1,11.1,8.8
Florida,12.7,12.9,12.4,12.6,12,11.5,10
Georgia,15.8,15.7,15.4,15,14.1,13.7,12.1
Hawaii,4.4,4,2.5,4.5,3.6,2.6,2.1
Iowa,9.1,8.7,9,9.2,7.8,7.5,6.7
Idaho,14.2,16.6,16.4,14.6,14.7,13.2,14.1
Illinois,10.8,10.9,12.1,11.7,9.5,9,8
Indiana,14.1,14.7,15.3,15,12.7,12.4,11.2
Kansas,13.7,14.8,16,13.4,11.4,11.3,9.3
Kentucky,14.9,16.9,16.2,17.5,15.2,13.9,13
Louisiana,22.1,21.4,21.7,21.3,20.4,19,18.5
Massachusetts,3.4,3.5,3.7,3.4,3,3.2,3.4
Maryland,12.6,11.7,12.3,11.9,11.9,9,11.9
Maine,11.5,10.3,11.7,8.3,9.8,9.4,7.8
Michigan,12.1,12.9,11.3,12.3,11.7,11.1,10.8
Minnesota,8.1,7.8,8.2,7.6,7.4,6.6,7
Missouri,20.6,21.5,21.5,19,18.1,15.3,12.9
Mississippi,24.2,22.9,21.5,19.9,19.6,18.3,16
Montana,19,17.3,22.5,18.9,19.2,16.1,16.9
North Carolina,13.1,13.3,13.7,13.7,12.5,11.8,12.8
North Dakota,12.4,11.5,13.2,11.9,12.8,12.3,8.8
Nebraska,10.4,9,8.3,9.1,8.9,9.5,7.7
New Hampshire,10.7,10.8,10.4,9.3,8.9,8.7,6.6
New Jersey,4.1,4.8,5.3,5.5,5.4,5.3,5.2
New Mexico,22.3,20.7,18.5,18.1,18.6,16,13.9
Nevada,15.3,17.9,16.7,16.8,14.9,14.8,16.1
New York,3.9,4.1,3.7,4.4,4.2,4.2,5.3
Ohio,13.3,13.1,13.7,12.9,11.9,10.3,9.6
Oklahoma,18.6,16.8,17.2,19.6,18,15.7,13.2
Oregon,12.6,11.7,12.1,11.9,11.4,11.7,10.7
Pennsylvania,11.7,12.5,12.5,12,11.4,10.5,10.8
Rhode Island,4.6,3.3,3.9,4.1,4.7,3,3.6
South Carolina,19.9,17.6,17.7,17.7,17.3,15.5,13.8
South Dakota,13.1,13.6,11.9,13.4,11.1,10.3,10.2
Tennessee,18.4,17.8,18.4,17.1,16,15.1,16
Texas,12.7,12.2,12.4,12.1,11.7,10.7,11.1
Utah,12.8,13.2,14,12.9,12.8,12.3,10.1
Virginia,11.7,11.8,11.9,12.1,10.9,10.3,11.5
Vermont,9.3,12.8,11.7,11.1,9.6,10.3,6.8
Washington,10.7,10.4,11.1,9,9.8,9.7,8.8
Wisconsin,10,10.1,10.6,11.4,10.4,8.2,8.5
West Virginia,16.6,18.2,18.6,17.5,14,14.6,13.8
Wyoming,22.3,21.5,18.8,17.4,19.6,16.2,13.4
