State,Licensees 2020
Texas,10635
California,8461
Florida,6988
Pennsylvania,6136
Illinois,4506
Ohio,4454
North Carolina,4430
Missouri,4242
Virginia,3962
Massachusetts,3960
Michigan,3856
New York,3784
Georgia,3478
Arizona,3385
Washington,3109
Tennessee,3103
Colorado,2945
Wisconsin,2848
Maryland,2837
Indiana,2730
Minnesota,2434
Kentucky,2225
Oklahoma,2197
Oregon,2148
Alabama,2114
South Carolina,2102
Iowa,1994
Louisiana,1937
Arkansas,1871
Kansas,1773
Connecticut,1743
Idaho,1506
Montana,1499
Utah,1493
Mississippi,1433
West Virginia,1347
Nevada,1318
New Hampshire,1174
Nebraska,1098
New Mexico,1022
Maine,880
Wyoming,878
Alaska,833
South Dakota,758
North Dakota,698
Rhode Island,565
Vermont,548
New Jersey,473
Delaware,316
Hawaii,223
District of Columbia,34
Other Territories,122
